onetId,occupationTitle,reportedTitle,combinedTitle
25-2021.00,"Elementary School Teachers, Except Special Education",1st Grade Teashierher,"1st Grade Teashierher (Elementary School Teachers, Except Special Education)"
51-5112.00,Printing Press Operators,1st Pressman,1st Pressman (Printing Press Operators)
39-3011.00,Gaming Dealers,21 Dealer,21 Dealer (Gaming Dealers)
51-5112.00,,2nd Pressman,2nd Pressman (Printing Press Operators)
27-1014.00,Multimedia Artists and Animators,3D Animator,3D Animator (Multimedia Artists and Animators)
27-1014.00,Multimedia Artists and Animators,3D Artist,3D Artist (Multimedia Artists and Animators)
25-2012.00,"Kindergarten Teachers, Except Special Education",4 Year Olds Kindergarten Teacher,"4 Year Olds Kindergarten Teacher (Kindergarten Teachers, Except Special Education)"
25-9021.00,Farm and Home Management Advisors,4-H Youth Development Specialist,4-H Youth Development Specialist (Farm and Home Management Advisors)
43-2021.00,Telephone Operators,411 Directory Assistance Operator,411 Directory Assistance Operator (Telephone Operators)
25-2021.00,"Elementary School Teachers, Except Special Education",6th Grade Teacher,"6th Grade Teacher (Elementary School Teachers, Except Special Education)"
43-5031.00,"Police, Fire, and Ambulance Dispatchers",911 Dispatcher,"911 Dispatcher (Police, Fire, and Ambulance Dispatchers)"
49-9051.00,Electrical Power-Line Installers and Repairers,A Class Lineman,A Class Lineman (Electrical Power-Line Installers and Repairers)
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",A&P Technician (Airframe and Powerplant Technician),"A&P Technician (Airframe and Powerplant Technician) (Aircraft Structure, Surfaces, Rigging, and Systems Assemblers)"
51-9111.00,Packaging and Filling Machine Operators and Tenders,A-Operator,A-Operator (Packaging and Filling Machine Operators and Tenders)
49-9021.01,Heating and Air Conditioning Mechanics and Installers,A/C Tech (Air Conditioning Technician),A/C Tech (Air Conditioning Technician) (Heating and Air Conditioning Mechanics and Installers)
49-3023.02,Automotive Specialty Technicians,A/C Technician (Air Conditioning Technician),A/C Technician (Air Conditioning Technician) (Automotive Specialty Technicians)
47-4041.00,Hazardous Materials Removal Workers,Abatement Worker,Abatement Worker (Hazardous Materials Removal Workers)
53-5021.02,"Mates- Ship, Boat, and Barge",Able Bodied Seaman (AB Seaman),"Able Bodied Seaman (AB Seaman) (Mates- Ship, Boat, and Barge)"
53-5011.00,Sailors and Marine Oilers,Able Bodied Seaman (AB Seaman),Able Bodied Seaman (AB Seaman) (Sailors and Marine Oilers)
53-5021.02,"Mates- Ship, Boat, and Barge",Able Bodied Tankerman (AB Tankerman),"Able Bodied Tankerman (AB Tankerman) (Mates- Ship, Boat, and Barge)"
53-5011.00,Sailors and Marine Oilers,Able Bodied Tankerman (AB Tankerman),Able Bodied Tankerman (AB Tankerman) (Sailors and Marine Oilers)
53-5011.00,Sailors and Marine Oilers,Able Bodied Watchman (AB Watchman),Able Bodied Watchman (AB Watchman) (Sailors and Marine Oilers)
53-5011.00,Sailors and Marine Oilers,Able Seaman,Able Seaman (Sailors and Marine Oilers)
23-2093.00,"Title Examiners, Abstractors, and Searchers",Abstracter,"Abstracter (Title Examiners, Abstractors, and Searchers)"
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",Academic Advisor,"Academic Advisor (Educational, Guidance, School, and Vocational Counselors)"
11-9033.00,"Education Administrators, Postsecondary",Academic Affairs Dean,"Academic Affairs Dean (Education Administrators, Postsecondary)"
11-9033.00,"Education Administrators, Postsecondary",Academic Affairs Vice President,"Academic Affairs Vice President (Education Administrators, Postsecondary)"
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",Academic Counselor,"Academic Counselor (Educational, Guidance, School, and Vocational Counselors)"
11-9033.00,"Education Administrators, Postsecondary",Academic Dean,"Academic Dean (Education Administrators, Postsecondary)"
25-3099.02,Tutors,Academic Guidance Specialist,Academic Guidance Specialist (Tutors)
29-1069.03,Hospitalists,Academic Hospitalist,Academic Hospitalist (Hospitalists)
43-4011.00,Brokerage Clerks,Account Administrator,Account Administrator (Brokerage Clerks)
43-9041.02,Insurance Policy Processing Clerks,Account Administrator,Account Administrator (Insurance Policy Processing Clerks)
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Account Clerk,"Account Clerk (Bookkeeping, Accounting, and Auditing Clerks)"
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Account Development Manager,"Account Development Manager (Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products)"
11-2011.00,Advertising and Promotions Managers,Account Executive,Account Executive (Advertising and Promotions Managers)
41-3011.00,Advertising Sales Agents,Account Executive,Account Executive (Advertising Sales Agents)
27-3043.04,Copy Writers,Account Executive,Account Executive (Copy Writers)
41-3021.00,Insurance Sales Agents,Account Executive,Account Executive (Insurance Sales Agents)
13-2052.00,Personal Financial Advisors,Account Executive,Account Executive (Personal Financial Advisors)
11-2031.00,Public Relations and Fundraising Managers,Account Executive,Account Executive (Public Relations and Fundraising Managers)
27-3031.00,Public Relations Specialists,Account Executive,Account Executive (Public Relations Specialists)
41-3031.01,"Sales Agents, Securities and Commodities",Account Executive,"Account Executive (Sales Agents, Securities and Commodities)"
41-9031.00,Sales Engineers,Account Executive,Account Executive (Sales Engineers)
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Account Executive,"Account Executive (Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products)"
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Account Executive,"Account Executive (Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products)"
41-3011.00,Advertising Sales Agents,Account Manager,Account Manager (Advertising Sales Agents)
43-4051.00,Customer Service Representatives,Account Manager,Account Manager (Customer Service Representatives)
43-5011.01,Freight Forwarders,Account Manager,Account Manager (Freight Forwarders)
43-9041.02,Insurance Policy Processing Clerks,Account Manager,Account Manager (Insurance Policy Processing Clerks)
41-3021.00,Insurance Sales Agents,Account Manager,Account Manager (Insurance Sales Agents)
11-2031.00,Public Relations and Fundraising Managers,Account Manager,Account Manager (Public Relations and Fundraising Managers)
41-9031.00,Sales Engineers,Account Manager,Account Manager (Sales Engineers)
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Account Manager,"Account Manager (Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products)"
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Account Manager,"Account Manager (Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products)"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Account Receivable Clerk,"Account Receivable Clerk (Bookkeeping, Accounting, and Auditing Clerks)"
43-3011.00,Bill and Account Collectors,Account Representative,Account Representative (Bill and Account Collectors)
43-4051.00,Customer Service Representatives,Account Representative,Account Representative (Customer Service Representatives)
43-3071.00,Tellers,Account Representative,Account Representative (Tellers)
43-3021.01,Statement Clerks,Account Services Representative,Account Services Representative (Statement Clerks)
11-2021.00,Marketing Managers,Account Supervisor,Account Supervisor (Marketing Managers)
11-2031.00,Public Relations and Fundraising Managers,Account Supervisor,Account Supervisor (Public Relations and Fundraising Managers)
13-2053.00,Insurance Underwriters,Account Underwriter,Account Underwriter (Insurance Underwriters)
13-2011.01,Accountants,Accountant,Accountant (Accountants)
43-3021.02,"Billing, Cost, and Rate Clerks",Accounting Assistant,"Accounting Assistant (Billing, Cost, and Rate Clerks)"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Accounting Assistant,"Accounting Assistant (Bookkeeping, Accounting, and Auditing Clerks)"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Accounting Associate,"Accounting Associate (Bookkeeping, Accounting, and Auditing Clerks)"
43-3021.02,"Billing, Cost, and Rate Clerks",Accounting Clerk,"Accounting Clerk (Billing, Cost, and Rate Clerks)"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Accounting Clerk,"Accounting Clerk (Bookkeeping, Accounting, and Auditing Clerks)"
13-2011.01,Accountants,Accounting Manager,Accounting Manager (Accountants)
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Accounting Manager,Accounting Manager (First-Line Supervisors of Office and Administrative Support Workers)
13-2011.01,Accountants,Accounting Officer,Accounting Officer (Accountants)
13-2011.01,Accountants,Accounting Supervisor,Accounting Supervisor (Accountants)
13-2031.00,Budget Analysts,Accounting Supervisor,Accounting Supervisor (Budget Analysts)
43-3051.00,Payroll and Timekeeping Clerks,Accounting Technician,Accounting Technician (Payroll and Timekeeping Clerks)
25-3099.02,Tutors,Accounting/Finance Tutor,Accounting/Finance Tutor (Tutors)
43-3021.00,Billing and Posting Clerks,Accounts Payable Associate,Accounts Payable Associate (Billing and Posting Clerks)
43-3021.00,Billing and Posting Clerks,Accounts Payable Clerk,Accounts Payable Clerk (Billing and Posting Clerks)
43-3021.02,"Billing, Cost, and Rate Clerks",Accounts Payable Clerk,"Accounts Payable Clerk (Billing, Cost, and Rate Clerks)"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Accounts Payable Clerk,"Accounts Payable Clerk (Bookkeeping, Accounting, and Auditing Clerks)"
